Connection Accepted: /127.0.0.13:12345

tiempo 1702057233900  tiempo 2 702062770200duration 5536300
tiempo 1702076251400  tiempo 2 702079675500duration 3424100
tiempo 1702083457800  tiempo 2 702086673100duration 3215300
tiempo 1702090735900  tiempo 2 702094144000duration 3408100
tiempo 1702098885200  tiempo 2 702102448200duration 3563000
tiempo 1702107260600  tiempo 2 702111551200duration 4290600
tiempo 1702116270300  tiempo 2 702119880800duration 3610500
tiempo 1702121852100  tiempo 2 702125470900duration 3618800
tiempo 1702129589100  tiempo 2 702133055400duration 3466300
tiempo 1702134990600  tiempo 2 702138423600duration 3433000
tiempo 1702140377800  tiempo 2 702143886800duration 3509000
tiempo 1702181509000  tiempo 2 702193690800duration 12181800
tiempo 1702203101300  tiempo 2 702209244400duration 6143100
tiempo 1702214572100  tiempo 2 702218579400duration 4007300
tiempo 1702223076300  tiempo 2 702227556800duration 4480500
tiempo 1702231629400  tiempo 2 702234995500duration 3366100
tiempo 1702239520300  tiempo 2 702243145100duration 3624800
tiempo 1702247514300  tiempo 2 702250938900duration 3424600
tiempo 1702255163800  tiempo 2 702258598700duration 3434900
tiempo 1702262779600  tiempo 2 702266221600duration 3442000
tiempo 1702270255700  tiempo 2 702273660000duration 3404300
tiempo 1702275589600  tiempo 2 702310745100duration 35155500
tiempo 1702323208300  tiempo 2 702329455900duration 6247600
tiempo 1702359439100  tiempo 2 702369728500duration 10289400
tiempo 1702388398400  tiempo 2 702392702500duration 4304100
tiempo 1702396825000  tiempo 2 702402964500duration 6139500
tiempo 1702406844800  tiempo 2 702410391700duration 3546900
tiempo 1702415561300  tiempo 2 702419930600duration 4369300
tiempo 1702425605100  tiempo 2 702429911600duration 4306500
tiempo 1702434434900  tiempo 2 702438537600duration 4102700
tiempo 1702444285900  tiempo 2 702448693800duration 4407900
tiempo 1702453458400  tiempo 2 702459898900duration 6440500
tiempo 1702461781800  tiempo 2 702465044200duration 3262400
tiempo 1702505115400  tiempo 2 702516393000duration 11277600
tiempo 1702524310900  tiempo 2 702529374900duration 5064000
tiempo 1702534499500  tiempo 2 702538385000duration 3885500
tiempo 1702540327800  tiempo 2 702543766800duration 3439000
tiempo 1702547666300  tiempo 2 702550913300duration 3247000
tiempo 1702555999100  tiempo 2 702560359100duration 4360000
tiempo 1702571397400  tiempo 2 702578436900duration 7039500
tiempo 1702584547600  tiempo 2 702589018000duration 4470400
tiempo 1702593632500  tiempo 2 702629673700duration 36041200
tiempo 1702642389900  tiempo 2 702650030900duration 7641000
tiempo 1702655952000  tiempo 2 702660159500duration 4207500
tiempo 1702664655800  tiempo 2 702668156100duration 3500300
tiempo 1702671984200  tiempo 2 702675151100duration 3166900
tiempo 1702679191300  tiempo 2 702682734400duration 3543100
tiempo 1702686851900  tiempo 2 702698140900duration 11289000
tiempo 1702699999100  tiempo 2 702703373800duration 3374700
tiempo 1702705280000  tiempo 2 702708731500duration 3451500
tiempo 1702716347800  tiempo 2 702719572700duration 3224900
tiempo 1702723623200  tiempo 2 702727211500duration 3588300
tiempo 1702731400100  tiempo 2 702735126700duration 3726600
tiempo 1702737211200  tiempo 2 702740720600duration 3509400
tiempo 1702745739500  tiempo 2 702750015000duration 4275500
tiempo 1702754657400  tiempo 2 702758252200duration 3594800
tiempo 1702762365600  tiempo 2 702766042200duration 3676600
tiempo 1702770396500  tiempo 2 702774773400duration 4376900
tiempo 1702779203100  tiempo 2 702782778400duration 3575300
tiempo 1702786876100  tiempo 2 702790264700duration 3388600
tiempo 1702792126700  tiempo 2 702795565400duration 3438700
tiempo 1702797446900  tiempo 2 702835598800duration 38151900
tiempo 1702848146400  tiempo 2 702854516700duration 6370300
tiempo 1702860565300  tiempo 2 702864873800duration 4308500
tiempo 1702867150000  tiempo 2 702870864500duration 3714500
tiempo 1702874970300  tiempo 2 702878317500duration 3347200
tiempo 1702882424800  tiempo 2 702885891500duration 3466700
tiempo 1702890098600  tiempo 2 702893734200duration 3635600
